Id,norm.WT_SeedCoat_1,norm.WT_SeedCoat_2,norm.WT_SeedCoat_3,norm.WT_SeedCoat_4,norm.T_SeedCoat_1,norm.T_SeedCoat_2,norm.T_SeedCoat_3,norm.T_SeedCoat_4
vigun.IT97K-499-35.gnm1.ann1.Vigun01g004400.1,309,504,525,497,494,344,475,518
vigun.IT97K-499-35.gnm1.ann1.Vigun01g004500.1,0,0,0,1,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g004600.1,0,0,0,0,0,0,0,2
vigun.IT97K-499-35.gnm1.ann1.Vigun01g004700.1,349,694,459,360,237,264,536,148
vigun.IT97K-499-35.gnm1.ann1.Vigun01g004700.2,51,0,15,15,127,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g004800.1,0,2,1,11,0,6,4,25
vigun.IT97K-499-35.gnm1.ann1.Vigun01g004900.1,559,742,178,163,118,393,153,93
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005000.1,0,0,0,1,10,3,0,1
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005100.1,0,3,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005200.1,974,970,1330,1078,780,685,884,567
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005300.1,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005300.2,613,1107,835,744,539,418,888,369
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005300.3,45,17,20,20,0,0,32,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005300.4,25,21,34,20,51,29,26,38
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005300.5,8,5,25,4,85,21,9,31
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005300.6,0,0,0,8,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005400.1,144,21,5,7,0,13,4,361
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005500.1,977,917,1629,1327,981,1083,1370,736
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005500.2,225,222,216,265,250,198,108,228
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005600.1,494,1876,2167,2411,899,630,2066,209
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005600.2,609,0,0,0,612,713,0,408
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005700.1,10,10,8,7,22,28,5,3
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005700.2,25,3,0,0,0,0,0,12
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005800.1,218,105,55,3,152,162,23,67
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005900.1,98,87,71,27,118,160,46,230
vigun.IT97K-499-35.gnm1.ann1.Vigun01g006000.1,740,1074,976,1104,620,647,917,1483
vigun.IT97K-499-35.gnm1.ann1.Vigun01g006100.1,2,0,1,0,0,3,0,7
vigun.IT97K-499-35.gnm1.ann1.Vigun01g006200.1,134,108,190,124,259,119,87,433
vigun.IT97K-499-35.gnm1.ann1.Vigun01g006200.2,523,469,779,753,427,555,582,651
vigun.IT97K-499-35.gnm1.ann1.Vigun01g006300.1,125,70,0,0,297,106,35,25
vigun.IT97K-499-35.gnm1.ann1.Vigun01g006300.2,25,0,161,124,73,0,67,7
vigun.IT97K-499-35.gnm1.ann1.Vigun01g006300.3,0,61,103,0,113,136,153,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g006300.4,118,55,0,84,48,0,0,115
vigun.IT97K-499-35.gnm1.ann1.Vigun01g006400.1,62,54,18,2,82,67,1,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g006500.1,1019,873,863,785,813,1074,903,1823
vigun.IT97K-499-35.gnm1.ann1.Vigun01g006600.1,41,85,31,0,0,30,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g006600.2,0,0,0,1,0,0,1,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g006600.3,0,11,0,0,0,9,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g006600.4,0,4,0,0,124,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g006700.1,9,13,0,3,9,19,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g006700.2,0,0,1,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g006800.1,127,298,96,26,257,149,16,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g006900.1,28,45,20,4,56,40,4,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007000.1,0,22,0,0,53,31,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007000.2,17,0,6,1,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007100.1,5242,10592,8611,9615,6588,5536,9280,10307
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007200.1,0,0,0,0,2,13,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007200.2,524,849,1088,1264,1472,783,1382,543
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007200.3,452,332,413,477,910,409,793,240
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007200.4,10,49,99,208,174,28,119,36
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007200.5,34,182,73,85,97,77,166,65
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007200.6,0,3,0,21,0,0,0,0
