Id,norm.WT_Embryo_1,norm.WT_Embryo_2,norm.WT_Embryo_3,norm.WT_Embryo_4,norm.T_Embryo_1,norm.T_Embryo_2,norm.T_Embryo_3,norm.T_Embryo_4
vigun.IT97K-499-35.gnm1.ann1.Vigun01g004500.1,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g004600.1,0,0,0,2,0,2,2,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g004700.1,136,88,53,92,88,137,99,109
vigun.IT97K-499-35.gnm1.ann1.Vigun01g004700.2,2,0,12,0,11,4,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g004800.1,34,1,6,11,9,4,10,1
vigun.IT97K-499-35.gnm1.ann1.Vigun01g004900.1,104,33,22,48,40,6,39,22
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005000.1,2,0,1,0,2,3,4,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005100.1,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005200.1,540,417,620,775,509,571,481,755
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005300.1,60,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005300.2,213,348,604,649,361,479,266,480
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005300.3,14,62,44,15,34,0,0,9
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005300.4,40,24,102,106,36,65,114,80
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005300.5,0,38,21,0,72,0,45,47
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005300.6,0,0,29,18,0,16,0,8
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005400.1,542,284,423,503,94,256,197,161
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005500.1,1547,556,1390,1438,655,787,311,1163
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005500.2,331,101,302,263,118,98,93,262
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005600.1,863,52,1189,1427,105,832,970,1652
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005600.2,14,418,50,91,441,0,300,78
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005700.1,10,6,35,81,0,13,0,45
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005700.2,7,7,10,6,0,10,29,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005800.1,100,13,23,24,10,19,6,22
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005900.1,266,61,93,99,123,314,285,318
vigun.IT97K-499-35.gnm1.ann1.Vigun01g006000.1,846,978,700,802,891,1265,612,758
vigun.IT97K-499-35.gnm1.ann1.Vigun01g006100.1,4,3,1,4,2,1,27,11
vigun.IT97K-499-35.gnm1.ann1.Vigun01g006200.1,222,381,283,140,102,227,214,214
vigun.IT97K-499-35.gnm1.ann1.Vigun01g006200.2,423,399,410,294,416,169,573,437
vigun.IT97K-499-35.gnm1.ann1.Vigun01g006300.1,30,31,6,0,127,37,32,58
vigun.IT97K-499-35.gnm1.ann1.Vigun01g006300.2,0,0,0,22,5,139,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g006300.3,67,4,64,41,0,0,49,105
vigun.IT97K-499-35.gnm1.ann1.Vigun01g006300.4,173,43,111,132,71,49,240,210
vigun.IT97K-499-35.gnm1.ann1.Vigun01g006400.1,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g006500.1,1146,1649,1104,981,1231,999,1372,1285
vigun.IT97K-499-35.gnm1.ann1.Vigun01g006600.1,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g006600.2,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g006600.3,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g006600.4,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g006700.1,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g006700.2,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g006800.1,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g006900.1,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007000.1,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007000.2,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007100.1,6097,9118,9179,7914,6102,11116,4382,5964
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007200.1,3,0,0,0,0,0,0,16
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007200.2,486,268,510,672,994,367,491,567
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007200.3,274,213,178,281,381,273,415,356
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007200.4,53,16,23,34,82,30,27,73
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007200.5,66,30,55,5,78,44,27,103
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007200.6,0,0,16,0,0,0,0,4
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007300.1,13,4,0,0,3,11,3,11
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007300.2,1,4,1,7,6,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007400.1,23,12,19,23,23,5,50,43
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007500.1,17,48,0,28,19,0,30,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007500.2,0,0,30,0,0,20,0,31
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007600.1,182,0,0,11,0,8,72,12
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007600.10,43,22,0,46,79,15,21,15
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007600.11,28,164,50,73,0,5,6,12
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007600.12,136,227,277,241,355,333,126,235
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007600.2,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007600.3,23,0,83,0,0,0,10,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007600.4,0,9,0,53,34,4,0,3
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007600.5,0,0,58,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007600.6,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007600.7,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007600.8,0,13,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007600.9,135,114,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007700.1,5,0,0,1,0,1,5,1
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007700.2,14,11,0,0,4,28,0,4
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007700.3,54,52,49,57,107,36,37,39
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007700.4,1,0,0,0,2,0,3,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007800.1,517,752,306,249,374,407,127,132
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007900.1,204,145,192,305,306,240,592,521
vigun.IT97K-499-35.gnm1.ann1.Vigun01g008000.1,0,0,2,4,4,1,1,1
vigun.IT97K-499-35.gnm1.ann1.Vigun01g008100.1,216,651,765,1487,2801,1068,2236,1504
vigun.IT97K-499-35.gnm1.ann1.Vigun01g008200.1,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g008300.1,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g008400.1,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g008500.1,0,4,1,11,3,3,6,12
vigun.IT97K-499-35.gnm1.ann1.Vigun01g008600.1,997,561,306,186,174,436,96,58
vigun.IT97K-499-35.gnm1.ann1.Vigun01g008700.1,185,72,74,86,84,63,88,76
vigun.IT97K-499-35.gnm1.ann1.Vigun01g008800.1,23,36,48,36,9,47,22,26
vigun.IT97K-499-35.gnm1.ann1.Vigun01g008900.1,38,10,14,34,43,33,31,15
vigun.IT97K-499-35.gnm1.ann1.Vigun01g009000.1,93,55,21,24,88,188,376,174
vigun.IT97K-499-35.gnm1.ann1.Vigun01g009100.1,312,155,271,297,185,266,172,213
vigun.IT97K-499-35.gnm1.ann1.Vigun01g009200.1,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g009200.2,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g009200.3,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g009300.1,197,222,172,154,145,186,205,174
vigun.IT97K-499-35.gnm1.ann1.Vigun01g009400.1,2,1,0,0,13,0,5,7
vigun.IT97K-499-35.gnm1.ann1.Vigun01g009500.1,141,125,230,151,22,76,69,125
vigun.IT97K-499-35.gnm1.ann1.Vigun01g009500.2,106,95,64,79,172,115,67,45
vigun.IT97K-499-35.gnm1.ann1.Vigun01g009600.1,204,99,279,298,287,182,301,324
vigun.IT97K-499-35.gnm1.ann1.Vigun01g009600.2,13,145,0,10,0,0,7,11
vigun.IT97K-499-35.gnm1.ann1.Vigun01g009700.1,3309,3747,1708,1666,4933,2572,3674,2267
vigun.IT97K-499-35.gnm1.ann1.Vigun01g009800.1,2504,3146,1793,1679,4046,2682,6129,3947
vigun.IT97K-499-35.gnm1.ann1.Vigun01g009900.1,1135,1173,1247,1265,879,1230,1102,1124
vigun.IT97K-499-35.gnm1.ann1.Vigun01g009900.2,1434,1457,1438,1266,890,1208,1263,1196
vigun.IT97K-499-35.gnm1.ann1.Vigun01g010000.1,55,0,63,11,14,77,46,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g010000.2,4,5,37,0,4,2,11,9
vigun.IT97K-499-35.gnm1.ann1.Vigun01g010000.3,22,9,26,18,15,9,0,13
vigun.IT97K-499-35.gnm1.ann1.Vigun01g010000.4,29,116,0,68,147,67,0,94
vigun.IT97K-499-35.gnm1.ann1.Vigun01g010000.5,0,0,0,0,0,0,18,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g010000.6,37,0,0,0,37,0,6,36
vigun.IT97K-499-35.gnm1.ann1.Vigun01g010000.7,5,0,28,13,17,70,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g010000.8,16,0,13,7,0,40,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g010100.1,4,0,2,1,0,1,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g010200.1,1,4,2,4,0,0,2,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g010300.1,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g010400.1,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g010500.1,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g010500.2,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g010600.1,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g010600.2,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g010700.1,25,11,26,10,10,7,96,50
vigun.IT97K-499-35.gnm1.ann1.Vigun01g010700.2,399,224,580,477,285,67,388,571
vigun.IT97K-499-35.gnm1.ann1.Vigun01g010700.3,568,869,701,950,698,566,1102,747
vigun.IT97K-499-35.gnm1.ann1.Vigun01g010700.4,3,0,0,0,0,0,13,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g010800.1,1,0,3,4,121,7,325,523
vigun.IT97K-499-35.gnm1.ann1.Vigun01g010900.1,474,274,145,80,296,281,343,240
vigun.IT97K-499-35.gnm1.ann1.Vigun01g010900.2,46,69,3,0,41,34,18,42
vigun.IT97K-499-35.gnm1.ann1.Vigun01g011000.1,2,0,0,0,1,0,11,1
vigun.IT97K-499-35.gnm1.ann1.Vigun01g011100.1,581,701,571,482,730,594,440,451
